COD. ESTACAO,NOME DO RIO,NIVEL,VAZAO,CHUVA,DATA/HORA
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 20:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 19:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 19:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 19:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 19:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 18:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 18:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 18:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 18:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Wed Apr 06 2022 17:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Wed Apr 06 2022 17:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Wed Apr 06 2022 17:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Wed Apr 06 2022 17:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Wed Apr 06 2022 16:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 16:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Wed Apr 06 2022 16:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 16:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 15:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 15:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Wed Apr 06 2022 15:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 15:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 14:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 14:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 14:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 14:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Wed Apr 06 2022 13:45:00 GMT-0400 (GMT-04:00)
